"date","pollen_count","severity_level"
"2023-01-03","1","low"
"2023-01-04","1","low"
"2023-01-05","29","medium"
"2023-01-06","2","low"
"2023-01-09","27","medium"
"2023-01-10","2","low"
"2023-01-12","36","medium"
"2023-01-13","24","medium"
"2023-01-16","4","low"
"2023-01-17","11","low"
"2023-01-18","0","low"
"2023-01-19","14","low"
"2023-01-20","226","high"
"2023-01-23","11","low"
"2023-01-24","30","medium"
"2023-01-25","18","medium"
"2023-01-26","41","medium"
"2023-01-27","40","medium"
"2023-01-30","15","medium"
"2023-01-31","0","low"
"2023-02-01","8","low"
"2023-02-02","171","high"
"2023-02-03","18","medium"
"2023-02-06","115","high"
"2023-02-07","185","high"
"2023-02-08","157","high"
"2023-02-09","439","high"
"2023-02-10","476","high"
"2023-02-13","89","medium"
"2023-02-14","184","high"
"2023-02-15","306","high"
"2023-02-16","76","medium"
"2023-02-17","140","high"
"2023-02-20","54","medium"
"2023-02-21","133","high"
"2023-02-22","106","high"
"2023-02-23","149","high"
"2023-02-24","99","high"
"2023-02-27","88","medium"
"2023-02-28","1112","high"
"2023-03-01","795","high"
"2023-03-02","671","high"
"2023-03-03","31","medium"
"2023-03-06","1605","extreme"
"2023-03-07","3937","extreme"
"2023-03-08","2592","extreme"
"2023-03-09","1214","high"
"2023-03-10","1306","high"
"2023-03-13","93","high"
"2023-03-14","1466","high"
"2023-03-15","434","high"
"2023-03-16","296","high"
"2023-03-17","2432","extreme"
"2023-03-20","456","high"
"2023-03-21","572","high"
"2023-03-22","457","high"
"2023-03-23","58","medium"
"2023-03-24","1552","extreme"
"2023-03-25","2513","extreme"
"2023-03-26","1232","high"
"2023-03-27","625","high"
"2023-03-28","1265","high"
"2023-03-29","1386","high"
"2023-03-30","475","high"
"2023-03-31","935","high"
"2023-04-01","1638","extreme"
"2023-04-02","1412","high"
"2023-04-03","277","high"
"2023-04-04","170","high"
"2023-04-05","243","high"
"2023-04-06","1581","extreme"
"2023-04-07","1662","extreme"
"2023-04-08","1230","high"
"2023-04-09","34","medium"
"2023-04-10","640","high"
"2023-04-11","273","high"
"2023-04-12","319","high"
"2023-04-13","271","high"
"2023-04-14","104","high"
"2023-04-15","183","high"
"2023-04-16","340","high"
