date,pollen_count,severity_level
2020-01-02,3,low
2020-01-03,0,low
2020-01-06,9,low
2020-01-07,54,medium
2020-01-08,94,high
2020-01-09,2,low
2020-01-10,11,low
2020-01-13,12,low
2020-01-14,2,low
2020-01-15,5,low
2020-01-16,5,low
2020-01-17,40,medium
2020-01-20,13,low
2020-01-21,8,low
2020-01-22,5,low
2020-01-23,3,low
2020-01-24,2,low
2020-01-27,301,high
2020-01-28,9,low
2020-01-29,15,medium
2020-01-30,11,low
2020-01-31,21,medium
2020-02-03,61,medium
2020-02-04,265,high
2020-02-05,92,high
2020-02-06,47,medium
2020-02-07,13,low
2020-02-10,18,medium
2020-02-11,3,low
2020-02-12,12,low
2020-02-13,333,high
2020-02-14,242,high
2020-02-17,6,low
2020-02-18,0,low
2020-02-19,5,low
2020-02-20,86,medium
2020-02-21,2,low
2020-02-24,29,medium
2020-02-25,1,low
2020-02-26,77,medium
2020-02-27,201,high
2020-02-28,18,medium
2020-03-02,81,medium
2020-03-03,5,low
2020-03-04,98,high
2020-03-05,4,low
2020-03-06,26,medium
2020-03-09,38,medium
2020-03-10,195,high
2020-03-11,16,medium
2020-03-12,79,medium
2020-03-13,423,high
2020-03-16,104,high
2020-03-17,51,medium
2020-03-18,87,medium
2020-03-19,108,high
2020-03-20,1668,extreme
2020-03-21,1883,extreme
2020-03-22,2462,extreme
2020-03-23,594,high
2020-03-24,19,medium
2020-03-25,664,high
2020-03-26,3697,extreme
2020-03-27,5847,extreme
2020-03-28,6881,extreme
2020-03-29,8918,extreme
2020-03-30,7113,extreme
2020-03-31,2922,extreme
2020-04-01,1657,extreme
2020-04-02,974,high
2020-04-03,983,high
2020-04-04,1881,extreme
2020-04-05,3360,extreme
2020-04-06,2556,extreme
2020-04-07,4354,extreme
2020-04-08,3102,extreme
2020-04-09,752,high
2020-04-10,1336,high
2020-04-14,222,high
2020-04-15,586,high
2020-04-16,258,high
2020-04-17,325,high
2020-04-20,36,medium
2020-04-21,122,high
2020-04-22,345,high
2020-04-23,84,medium
2020-04-24,39,medium
2020-04-27,101,high
2020-04-28,130,high
2020-04-29,96,medium
2020-04-30,35,medium
"2020-05-01","122","high"
"2020-05-04","278","high"
"2020-05-05","227","high"
"2020-05-06","448","high"
"2020-05-07","204","high"
"2020-05-08","136","high"
"2020-05-11","125","high"
"2020-05-12","173","high"
"2020-05-13","79","medium"
"2020-05-14","62","medium"
"2020-05-15","90","medium"
"2020-05-18","40","medium"
"2020-05-19","12","low"
"2020-05-20","28","medium"
"2020-05-21","29","medium"
"2020-05-22","22","medium"
"2020-05-26","44","medium"
"2020-05-27","12","low"
"2020-05-28","15","low"
"2020-05-29","23","medium"
"2020-06-01","102","high"
"2020-06-02","70","medium"
"2020-06-03","19","medium"
"2020-06-04","24","medium"
"2020-06-05","21","medium"
"2020-06-08","10","low"
"2020-06-09","9","low"
"2020-06-11","16","low"
"2020-06-12","43","medium"
"2020-06-15","30","medium"
"2020-06-16","10","low"
"2020-06-17","6","low"
"2020-06-18","16","low"
"2020-06-19","9","low"
"2020-06-22","20","low"
"2020-06-23","5","low"
"2020-06-24","6","low"
"2020-06-25","5","low"
"2020-06-26","9","low"
"2020-06-29","9","low"
"2020-06-30","15","low"
"2020-07-01","10","low"
"2020-07-02","22","medium"
"2020-07-06","7","low"
"2020-07-07","6","low"
"2020-07-08","7","low"
"2020-07-09","5","low"
"2020-07-10","5","low"
"2020-07-13","9","low"
"2020-07-14","15","low"
"2020-07-15","179","high"
"2020-07-16","9","low"
"2020-07-17","16","low"
"2020-07-20","4","low"
"2020-07-21","16","low"
"2020-07-22","8","low"
"2020-07-23","10","low"
"2020-07-24","23","medium"
"2020-07-27","9","low"
"2020-07-28","4","low"
"2020-07-29","7","low"
"2020-07-30","3","low"
"2020-07-31","5","low"
"2020-08-03","8","low"
"2020-08-04","7","low"
"2020-08-05","6","low"
"2020-08-06","6","low"
"2020-08-07","4","low"
"2020-08-10","7","low"
"2020-08-11","4","low"
"2020-08-12","5","low"
"2020-08-13","8","low"
"2020-08-14","3","low"
"2020-08-17","8","low"
"2020-08-19","12","low"
"2020-08-20","3","low"
"2020-08-21","1","low"
"2020-08-24","3","low"
"2020-08-25","1","low"
"2020-08-26","3","low"
"2020-08-27","11","low"
"2020-08-28","102","high"
"2020-08-31","84","medium"
"2020-09-01","20","medium"
"2020-09-02","6","low"
"2020-09-03","14","medium"
"2020-09-04","16","medium"
"2020-09-08","27","medium"
"2020-09-09","18","medium"
"2020-09-10","26","medium"
"2020-09-11","19","medium"
"2020-09-14","23","medium"
"2020-09-15","51","medium"
"2020-09-16","73","medium"
"2020-09-17","24","medium"
"2020-09-18","12","low"
"2020-09-21","42","medium"
"2020-09-22","13","medium"
"2020-09-23","16","low"
"2020-09-24","24","medium"
"2020-09-25","8","low"
"2020-09-28","99","high"
"2020-09-29","13","low"
"2020-09-30","44","medium"
"2020-10-01","22","medium"
"2020-10-02","77","medium"
"2020-10-06","21","medium"
"2020-10-07","9","low"
"2020-10-08","27","medium"
"2020-10-09","10","medium"
"2020-10-12","6","low"
"2020-10-13","43","medium"
"2020-10-14","34","medium"
"2020-10-15","27","medium"
"2020-10-16","25","medium"
"2020-10-19","20","medium"
"2020-10-20","3","low"
"2020-10-21","14","medium"
"2020-10-22","5","low"
"2020-10-23","4","low"
"2020-10-26","8","low"
"2020-10-27","3","low"
"2020-10-28","2","low"
"2020-10-29","6","low"
"2020-10-30","15","low"
"2020-11-02","6","low"
"2020-11-03","3","low"
"2020-11-04","9","low"
"2020-11-05","3","low"
"2020-11-06","5","low"
"2020-11-09","4","low"
"2020-11-10","2","low"
"2020-11-11","2","low"
"2020-11-12","2","low"
"2020-11-13","2","low"
"2020-11-16","6","low"
"2020-11-17","4","low"
"2020-11-18","5","low"
"2020-11-19","2","low"
"2020-11-20","3","low"
"2020-11-23","2","low"
"2020-11-24","2","low"
"2020-11-25","2","low"
"2020-11-30","5","low"
"2020-12-01","1","low"
"2020-12-02","3","low"
"2020-12-03","1","low"
"2020-12-04","2","low"
"2020-12-07","2","low"
"2020-12-08","1","low"
"2020-12-09","2","low"
"2020-12-10","2","low"
"2020-12-11","1","low"
"2020-12-14","5","low"
"2020-12-15","0","low"
"2020-12-16","2","low"
"2020-12-17","1","low"
"2020-12-18","1","low"
"2020-12-21","1","low"
"2020-12-22","5","low"
"2020-12-23","3","low"
