date,pollen_count,severity_level
2018-01-02,6,low
2018-01-03,6,low
2018-01-04,1,low
2018-01-05,2,low
2018-01-08,0,low
2018-01-09,1,low
2018-01-10,0,low
2018-01-11,0,low
2018-01-12,0,low
2018-01-15,1,low
2018-01-16,0,low
2018-01-18,2,low
2018-01-19,1,low
2018-01-22,3,low
2018-01-23,16,medium
2018-01-24,16,low
2018-01-25,4,low
2018-01-26,0,low
2018-01-29,0,low
2018-01-30,9,low
2018-01-31,2,low
2018-02-01,7,low
2018-02-02,15,medium
2018-02-05,1,low
2018-02-06,6,low
2018-02-07,42,medium
2018-02-08,3,low
2018-02-09,8,low
2018-02-12,1,low
2018-02-13,167,high
2018-02-14,134,high
2018-02-15,17,medium
2018-02-16,351,high
2018-02-19,20,medium
2018-02-20,50,medium
2018-02-21,148,high
2018-02-22,109,high
2018-02-23,142,high
2018-02-26,10,low
2018-02-27,36,medium
2018-02-28,577,high
2018-03-01,56,medium
2018-03-02,50,medium
2018-03-05,10,low
2018-03-06,81,medium
2018-03-07,111,high
2018-03-08,24,medium
2018-03-09,14,low
2018-03-12,5,low
2018-03-13,74,medium
2018-03-14,25,medium
2018-03-15,23,medium
2018-03-16,361,high
2018-03-19,438,high
2018-03-20,13,low
2018-03-21,574,high
2018-03-22,794,high
2018-03-23,430,high
2018-03-24,826,high
2018-03-25,2325,extreme
2018-03-26,1308,high
2018-03-27,801,high
2018-03-28,110,high
2018-03-29,1573,extreme
2018-03-30,2928,extreme
2018-03-31,3387,extreme
2018-04-01,1264,high
2018-04-02,1217,high
2018-04-03,993,high
2018-04-04,4667,extreme
2018-04-05,1254,high
2018-04-06,1495,high
2018-04-07,3429,extreme
2018-04-08,798,high
2018-04-09,722,high
2018-04-10,328,high
2018-04-11,5098,extreme
2018-04-12,5354,extreme
2018-04-13,4208,extreme
2018-04-14,3217,extreme
2018-04-15,2416,extreme
2018-04-16,1437,high
2018-04-17,1000,high
2018-04-18,1648,extreme
2018-04-19,3343,extreme
2018-04-20,2261,extreme
2018-04-21,390,high
2018-04-22,681,high
2018-04-23,30,medium
2018-04-24,24,medium
2018-04-25,265,high
