date,pollen_count
2015-01-05,2
2015-01-06,0
2015-01-07,1
2015-01-08,1
2015-01-09,0
2015-01-12,1
2015-01-13,0
2015-01-14,0
2015-01-15,1
2015-01-16,2
2015-01-19,7
2015-01-20,9
2015-01-21,10
2015-01-22,3
2015-01-23,2
2015-01-26,3
2015-01-27,5
2015-01-28,2
2015-01-29,1
2015-01-30,12
2015-02-02,2
2015-02-03,6
2015-02-04,2
2015-02-05,1
2015-02-06,2
2015-02-09,20
2015-02-10,17
2015-02-11,15
2015-02-12,29
2015-02-13,51
2015-02-16,9
2015-02-17,12
2015-02-18,10
2015-02-19,12
2015-02-20,9
2015-02-23,0
2015-02-24,2
2015-02-25,3
2015-02-26,0
2015-02-27,1
2015-03-02,1
2015-03-03,24
2015-03-04,1
2015-03-05,140
2015-03-06,126
2015-03-09,158
2015-03-10,200
2015-03-11,232
2015-03-12,18
2015-03-13,187
2015-03-16,188
2015-03-17,178
2015-03-18,1793
2015-03-19,491
2015-03-20,8
2015-03-23,1
2015-03-24,155
2015-03-25,581
2015-03-26,138
2015-03-27,182
2015-03-28,159
2015-03-29,72
2015-03-30,415
2015-03-31,216
2015-04-01,1039
2015-04-02,2265
2015-04-03,2362
2015-04-04,5987
2015-04-05,1859
2015-04-06,1895
2015-04-07,2065
2015-04-08,2256
2015-04-09,6152
2015-04-10,4482
2015-04-11,642
2015-04-12,1698
2015-04-13,1488
2015-04-14,129
2015-04-15,454
2015-04-16,131
2015-04-17,52
2015-04-18,26
2015-04-19,99
2015-04-20,36
2015-04-21,244
2015-04-22,410
2015-04-23,167
2015-04-24,213
2015-04-25,98
2015-04-26,56
2015-04-27,365
2015-04-28,328
2015-04-29,115
2015-04-30,32
2015-05-01,195
2015-05-04,60
2015-05-05,81
2015-05-06,79
2015-05-07,62
2015-05-08,82
2015-05-11,106
2015-05-12,153
2015-05-13,166
2015-05-14,131
2015-05-15,85
2015-05-18,26
2015-05-19,10
2015-05-20,54
2015-05-21,37
2015-05-22,51
2015-05-26,15
2015-05-27,12
2015-05-28,18
2015-05-29,14
2015-06-01,17
2015-06-02,8
2015-06-03,8
2015-06-04,8
2015-06-05,13
2015-06-08,9
2015-06-09,9
2015-06-10,7
2015-06-11,14
2015-06-12,5
2015-06-15,10
2015-06-16,5
2015-06-17,14
2015-06-18,13
2015-06-19,8
2015-06-22,11
2015-06-23,9
2015-06-24,9
2015-06-25,8
2015-06-26,9
2015-06-29,3
2015-06-30,2
2015-07-01,3
2015-07-02,7
2015-07-06,11
2015-07-07,7
2015-07-08,10
2015-07-09,5
2015-07-10,8
2015-07-13,4
2015-07-14,3
2015-07-15,10
2015-07-16,5
2015-07-17,8
2015-07-20,11
2015-07-21,9
2015-07-22,5
2015-07-23,7
2015-07-24,3
2015-07-27,11
2015-07-28,5
2015-07-29,5
2015-07-30,7
2015-07-31,6
2015-08-03,7
2015-08-04,5
2015-08-05,2
2015-08-06,7
2015-08-07,3
2015-08-10,7
2015-08-11,5
2015-08-12,5
2015-08-13,5
2015-08-14,2
2015-08-17,4
2015-08-18,7
2015-08-19,4
2015-08-20,3
2015-08-21,3
2015-08-24,3
2015-08-25,13
2015-08-26,23
2015-08-27,21
2015-08-28,17
2015-08-31,13
2015-09-01,8
2015-09-02,65
2015-09-03,343
2015-09-04,394
2015-09-08,371
2015-09-09,121
2015-09-10,29
2015-09-11,31
2015-09-14,109
2015-09-15,62
2015-09-16,147
2015-09-17,53
2015-09-18,114
2015-09-21,131
2015-09-22,67
2015-09-23,76
2015-09-24,133
2015-09-25,115
2015-09-28,65
2015-09-29,14
2015-09-30,6
2015-10-01,24
2015-10-02,41
2015-10-05,21
2015-10-06,23
2015-10-07,41
2015-10-08,10
2015-10-09,16
2015-10-12,7
2015-10-13,6
2015-10-14,20
2015-10-15,7
2015-10-16,6
2015-10-19,11
2015-10-20,4
2015-10-21,10
2015-10-22,9
2015-10-23,7
2015-10-26,2
2015-10-27,0
2015-10-28,2
2015-10-29,4
2015-10-30,10
2015-11-02,1
2015-11-03,2
2015-11-04,0
2015-11-05,1
2015-11-06,1
2015-11-09,0
2015-11-10,1
2015-11-11,2
2015-11-12,3
2015-11-13,3
2015-11-16,0
2015-11-17,1
2015-11-18,5
2015-11-19,1
2015-11-20,2
2015-11-23,2
2015-11-24,2
2015-11-25,3
2015-11-30,3
2015-12-01,3
2015-12-02,1
2015-12-03,1
2015-12-04,1
2015-12-07,2
2015-12-08,1
2015-12-09,0
2015-12-10,0
2015-12-11,1
2015-12-14,1
2015-12-15,2
2015-12-16,2
2015-12-17,0
2015-12-18,1
2015-12-21,2
2015-12-22,1
2015-12-23,5
2015-12-28,2
2015-12-29,3
2015-12-30,7
2015-12-31,2
