date,pollen_count
2019-01-02,5
2019-01-03,2
2019-01-04,1
2019-01-07,2
2019-01-08,35
2019-01-09,52
2019-01-10,8
2019-01-11,1
2019-01-14,1
2019-01-15,0
2019-01-16,3
2019-01-17,1
2019-01-18,1
2019-01-21,7
2019-01-22,2
2019-01-23,4
2019-01-24,6
2019-01-25,18
2019-01-29,2
2019-01-30,1
2019-01-31,1
2019-02-01,1
2019-02-04,0
2019-02-05,64
2019-02-06,260
2019-02-07,244
2019-02-08,736
2019-02-11,13
2019-02-12,2
2019-02-13,537
2019-02-14,234
2019-02-15,102
2019-02-18,4
2019-02-19,1125
2019-02-20,2
2019-02-21,0
2019-02-22,2
2019-02-25,538
2019-02-26,124
2019-02-27,180
2019-02-28,72
2019-03-01,44
2019-03-04,37
2019-03-05,46
2019-03-06,51
2019-03-07,8
2019-03-08,28
2019-03-11,22
2019-03-12,29
2019-03-13,151
2019-03-14,139
2019-03-15,322
2019-03-18,23
2019-03-19,35
2019-03-20,24
2019-03-21,169
2019-03-22,208
2019-03-23,272
2019-03-24,303
2019-03-25,1675
2019-03-26,139
2019-03-27,212
2019-03-28,428
2019-03-29,951
2019-03-30,1922
2019-03-31,4666
2019-04-01,1050
2019-04-02,886
2019-04-03,1501
