date,pollen_count
2017-01-03,4
2017-01-04,5
2017-01-05,4
2017-01-06,4
2017-01-09,1
2017-01-10,3
2017-01-11,3
2017-01-12,3
2017-01-13,14
2017-01-16,6
2017-01-17,13
2017-01-18,10
2017-01-19,15
2017-01-20,11
2017-01-23,2
2017-01-24,18
2017-01-25,53
2017-01-26,122
2017-01-27,171
2017-01-30,41
2017-01-31,52
2017-02-01,109
2017-02-02,116
2017-02-03,105
2017-02-06,12
2017-02-07,41
2017-02-08,5
2017-02-09,117
2017-02-10,62
2017-02-13,513
2017-02-14,217
2017-02-15,20
2017-02-16,68
2017-02-17,60
2017-02-20,1289
2017-02-21,387
2017-02-22,140
2017-02-23,67
2017-02-24,210
2017-02-27,25
2017-02-28,34
2017-03-01,71
2017-03-02,87
2017-03-03,86
2017-03-06,74
2017-03-07,155
2017-03-08,123
2017-03-09,162
2017-03-10,251
2017-03-13,17
2017-03-14,52
2017-03-15,43
2017-03-16,45
2017-03-17,57
2017-03-21,1549
2017-03-22,1948
2017-03-23,644
2017-03-24,816
2017-03-25,2258
2017-03-26,1826
2017-03-27,1939
2017-03-28,2587
2017-03-29,2204
2017-03-30,2924
2017-03-31,3559
2017-04-01,926
2017-04-02,1258
2017-04-03,2507
2017-04-04,834
2017-04-05,2631
2017-04-06,872
2017-04-07,622
2017-04-08,556
2017-04-09,360
2017-04-10,830
2017-04-11,1028
2017-04-12,1967
2017-04-13,2224
2017-04-14,1260
2017-04-15,1078
2017-04-16,464
2017-04-17,1072
2017-04-18,469
2017-04-19,110
2017-04-20,110
2017-04-21,98
2017-04-22,259
2017-04-23,117
2017-04-24,11
2017-04-25,49
2017-04-26,30
2017-04-27,104
2017-04-28,48
2017-04-29,101
2017-04-30,113
2017-05-01,142
2017-05-02,118
2017-05-03,119
2017-05-04,130
2017-05-05,12
2017-05-08,6
2017-05-09,45
2017-05-10,59
2017-05-11,87
2017-05-12,27
2017-05-15,4
2017-05-16,23
2017-05-17,20
2017-05-18,24
2017-05-19,21
2017-05-22,20
2017-05-23,7
2017-05-24,4
2017-05-25,24
2017-05-26,20
2017-05-30,23
2017-05-31,2
2017-06-01,13
2017-06-02,15
2017-06-05,6
2017-06-06,8
2017-06-07,17
2017-06-08,32
2017-06-09,15
2017-06-12,8
2017-06-13,5
2017-06-14,11
2017-06-15,2
2017-06-16,27
2017-06-19,6
2017-06-20,7
2017-06-21,7
2017-06-22,17
2017-06-23,3
2017-06-26,29
2017-06-27,20
2017-06-28,8
2017-06-29,7
2017-06-30,11
2017-07-03,9
2017-07-05,24
2017-07-06,8
2017-07-07,10
2017-07-10,31
2017-07-11,23
2017-07-12,10
2017-07-13,8
2017-07-14,5
2017-07-17,1
2017-07-18,8
2017-07-19,3
2017-07-20,1
2017-07-21,8
2017-07-24,2
2017-07-25,4
2017-07-26,7
2017-07-27,16
2017-07-28,7
2017-07-31,9
2017-08-01,6
2017-08-02,6
2017-08-03,6
2017-08-04,5
2017-08-07,7
2017-08-08,1
2017-08-09,4
2017-08-11,7
2017-08-14,8
2017-08-15,13
2017-08-16,13
2017-08-17,10
2017-08-18,7
2017-08-21,10
2017-08-22,14
2017-08-23,15
2017-08-24,24
2017-08-25,27
2017-08-28,22
2017-08-29,30
2017-08-30,9
2017-08-31,10
2017-09-01,10
2017-09-05,105
2017-09-06,84
2017-09-07,116
2017-09-08,126
2017-09-11,107
2017-09-12,5
2017-09-13,13
2017-09-14,50
2017-09-15,16
2017-09-18,56
2017-09-19,74
2017-09-20,78
2017-09-21,50
2017-09-22,28
2017-09-25,39
2017-09-26,32
2017-09-27,24
2017-09-28,26
2017-09-29,23
2017-10-02,32
2017-10-03,27
2017-10-04,59
2017-10-05,31
2017-10-06,29
2017-10-10,3
2017-10-11,18
2017-10-12,16
2017-10-13,10
2017-10-18,5
2017-10-19,5
2017-10-20,2
2017-10-23,4
2017-10-24,9
2017-10-25,7
2017-10-26,10
2017-10-27,8
2017-10-30,6
2017-10-31,9
2017-11-01,7
2017-11-02,2
2017-11-03,4
2017-11-06,5
2017-11-07,2
2017-11-08,6
2017-11-09,1
2017-11-10,2
2017-11-13,0
2017-11-14,2
2017-11-15,2
2017-11-16,2
2017-11-17,2
2017-11-20,5
2017-11-21,1
2017-11-22,3
2017-11-27,4
2017-11-28,2
2017-11-29,3
2017-11-30,19
2017-12-01,10
2017-12-04,2
2017-12-05,3
2017-12-06,3
2017-12-07,2
2017-12-08,2
2017-12-11,17
2017-12-12,3
2017-12-13,4
2017-12-14,1
2017-12-15,2
2017-12-18,14
2017-12-19,2
2017-12-20,1
2017-12-21,2
2017-12-26,2
2017-12-27,1
2017-12-28,1
2017-12-29,2
